Reference,ID64,System Name,Mod(8),Mass Code,Body,Ruin Index,Site Type,EDx,EDy,EDz,Surface Lattitude,Surface Longitude,Active Monolith Count,Region,Primary Star Type,Star Subtype,Luminosity,Spectral Class,Absolute Magnitude,Age,Surface Temperature,Number of Stars,Body Count,Body Name,Body ID64,Body ID,Body Type,Body Subtype,Tidally Locked,Distance to Arrival,Rotational Period,Semi Major Axis,Arg of Periapsis,Axial Tilt,Orbital Eccentricity,Orbital Inclination,Orbital Period (Days),Orbital Syncronicity,Parent ID,Parent Type,Parent Subtype,Body Radius,Earth Masses,Surface Temperature (K),Gravity,Body Ice (%),Body Metal (%),Body Rock (%),Volcanism,Atmosphere,Surface Pressure (Atmospheres),Terraforming State,Materials
GR011,682228131193,Synuefe TP-F b44-0,1,b,CD 1,1,α,838.75,-197.84375,-111.84375,31.8686,-100.0373,23,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M5,9.800812,3828,2734,4,24,Synuefe TP-F b44-0 CD 1,576461434531554681,16,Planet,High metal content world,TRUE,1225.668747,0.5927261617,1.91E-05,136.068283,-0.191993,0.120065,7.852005,0.3643482096,0.2283779522,540432637512590713,Null,,1952.435125,0.026948,295.305176,0.2873093709,0,32.7177,67.2824,Major Silicate Vapour Geysers,No atmosphere,0,Not terraformable,"Cadmium: 1.705022%, Carbon: 13.15711%, Germanium: 4.613124%, Iron: 21.956501%, Manganese: 9.067811%, Nickel: 16.606977%, Niobium: 1.50061%, Phosphorus: 8.423407%, Ruthenium: 1.355954%, Sulphur: 15.646527%, Zinc: 5.966955%"
GR012,1625603164499,Col 173 Sector KY-Q d5-47,3,d,9 a,2,α,1043.875,-100.75,-246.0625,-15.0891,-102.9543,29,Inner Orion Spur,Star,F (White) Star,VI,F4,3.90686,1158,6858,3,66,Col 173 Sector KY-Q d5-47 9 a,1188951927228975443,33,Planet,Rocky body,TRUE,1436.623153,0.8067300351,0.003123841819,138.517531,-0.231764,0.000644,-0.697309,0.8477486463,0.04101861119,1116894333191047507,Planet,Class III gas giant,1115.522125,0.004034,277.356445,0.1317364128,0,8.9543,91.0457,Major Silicate Vapour Geysers,No atmosphere,0,Not terraformable,"Arsenic: 2.676932%, Carbon: 17.061741%, Germanium: 5.985801%, Iron: 20.781742%, Mercury: 0.907504%, Nickel: 15.718439%, Phosphorus: 10.923221%, Selenium: 3.175548%, Sulphur: 20.289942%, Tin: 1.237855%, Yttrium: 1.241269%"
GR013,1184840454858,Synuefe NL-N c23-4,2,c,B 3,2,α,860.125,-124.59375,-61.0625,-30.5443,-24.2050,20,Inner Orion Spur,Star,K (Yellow-Orange) Star,Va,K7,7.523514,2058,4046,3,33,Synuefe NL-N c23-4 B 3,648519531181806282,18,Planet,High metal content world,TRUE,1804.807826,19.87268529,0.08934026716,14.644195,0.23031,0.000392,0.007871,19.97922099,0.1065356955,108087575897346762,Star,M (Red dwarf) Star,2051.975625,0.031528,283.832672,0.3043194657,0,33.1622,66.8378,,No atmosphere,0,Not terraformable,"Arsenic: 2.253854%, Cadmium: 1.892314%, Carbon: 14.43696%, Iron: 24.368362%, Molybdenum: 1.59124%, Nickel: 18.43121%, Phosphorus: 9.24279%, Selenium: 2.687021%, Sulphur: 17.168535%, Tellurium: 1.305311%, Zinc: 6.622409%"
GR014,1625603164499,Col 173 Sector KY-Q d5-47,3,d,9 a,1,γ,1043.875,-100.75,-246.0625,-37.5192,84.2353,33,Inner Orion Spur,Star,F (White) Star,VI,F4,3.90686,1158,6858,3,66,Col 173 Sector KY-Q d5-47 9 a,1188951927228975443,33,Planet,Rocky body,TRUE,1436.623153,0.8067300351,0.003123841819,138.517531,-0.231764,0.000644,-0.697309,0.8477486463,0.04101861119,1116894333191047507,Planet,Class III gas giant,1115.522125,0.004034,277.356445,0.1317364128,0,8.9543,91.0457,Major Silicate Vapour Geysers,No atmosphere,0,Not terraformable,"Arsenic: 2.676932%, Carbon: 17.061741%, Germanium: 5.985801%, Iron: 20.781742%, Mercury: 0.907504%, Nickel: 15.718439%, Phosphorus: 10.923221%, Selenium: 3.175548%, Sulphur: 20.289942%, Tin: 1.237855%, Yttrium: 1.241269%"
GR015,5079737705833,Synuefe LY-I b42-2,1,b,C 2,2,γ,814.71875,-222.78125,-151.15625,-10.0901,114.5054,23,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M6,10.108124,264,2526,5,36,Synuefe LY-I b42-2 C 2,900725005211805033,25,Planet,High metal content world,TRUE,1530.412027,6.906491893,0.03976128415,160.24788,0.50488,0.000301,0.003947,6.906467662,2.42E-05,180149064832525673,Star,L (Brown dwarf) Star,2127.5055,0.035174,285.677734,0.3158305292,0,32.916,67.084,No volcanism,No atmosphere,0,Not terraformable,"Cadmium: 1.631121%, Carbon: 12.534243%, Chromium: 9.446575%, Iron: 21.004843%, Manganese: 8.674786%, Nickel: 15.887183%, Niobium: 1.435569%, Phosphorus: 8.024637%, Ruthenium: 1.297183%, Sulphur: 14.90581%, Vanadium: 5.158058%"
GR016,5079737705833,Synuefe LY-I b42-2,1,b,C 2,1,γ,814.71875,-222.78125,-151.15625,-37.3038,106.4366,19,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M6,10.108124,264,2526,5,36,Synuefe LY-I b42-2 C 2,900725005211805033,25,Planet,High metal content world,TRUE,1530.412027,6.906491893,0.03976128415,160.24788,0.50488,0.000301,0.003947,6.906467662,2.42E-05,180149064832525673,Star,L (Brown dwarf) Star,2127.5055,0.035174,285.677734,0.3158305292,0,32.916,67.084,No volcanism,No atmosphere,0,Not terraformable,"Cadmium: 1.631121%, Carbon: 12.534243%, Chromium: 9.446575%, Iron: 21.004843%, Manganese: 8.674786%, Nickel: 15.887183%, Niobium: 1.435569%, Phosphorus: 8.024637%, Ruthenium: 1.297183%, Sulphur: 14.90581%, Vanadium: 5.158058%"
GR017,5079737705833,Synuefe LY-I b42-2,1,b,C 2,3,β,814.71875,-222.78125,-151.15625,9.0247,48.7687,10,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M6,10.108124,264,2526,5,36,Synuefe LY-I b42-2 C 2,900725005211805033,25,Planet,High metal content world,TRUE,1530.412027,6.906491893,0.03976128415,160.24788,0.50488,0.000301,0.003947,6.906467662,2.42E-05,180149064832525673,Star,L (Brown dwarf) Star,2127.5055,0.035174,285.677734,0.3158305292,0,32.916,67.084,No volcanism,No atmosphere,0,Not terraformable,"Cadmium: 1.631121%, Carbon: 12.534243%, Chromium: 9.446575%, Iron: 21.004843%, Manganese: 8.674786%, Nickel: 15.887183%, Niobium: 1.435569%, Phosphorus: 8.024637%, Ruthenium: 1.297183%, Sulphur: 14.90581%, Vanadium: 5.158058%"
GR018,11681102898521,Col 173 Sector AV-N b23-5,1,b,A 2,1,β,1117.03125,-71.03125,-202.15625,42.8414,-175.6578,12,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M4,9.447479,354,2904,3,27,Col 173 Sector AV-N b23-5 A 2,216184463216682329,6,Planet,High metal content world,TRUE,55.144988,23.56390389,0.1105118276,289.640674,-0.320115,0.000101,-0.187817,23.56388572,1.82E-05,72069275140826457,Star,M (Red dwarf) Star,1942.4705,0.026519,274.874298,0.2856398491,0,32.6808,67.3192,No volcanism,No atmosphere,0,Not terraformable,"Carbon: 12.725804%, Chromium: 9.523901%, Germanium: 4.449097%, Iron: 21.176777%, Manganese: 8.745793%, Nickel: 16.017227%, Niobium: 1.44732%, Phosphorus: 8.147279%, Sulphur: 15.133617%, Tin: 1.368318%, Yttrium: 1.264864%"
GR019,11681102898521,Col 173 Sector AV-N b23-5,1,b,A 2,2,β,1117.03125,-71.03125,-202.15625,33.2744,-175.5003,13,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M4,9.447479,354,2904,3,27,Col 173 Sector AV-N b23-5 A 2,216184463216682329,6,Planet,High metal content world,TRUE,55.144988,23.56390389,0.1105118276,289.640674,-0.320115,0.000101,-0.187817,23.56388572,1.82E-05,72069275140826457,Star,M (Red dwarf) Star,1942.4705,0.026519,274.874298,0.2856398491,0,32.6808,67.3192,No volcanism,No atmosphere,0,Not terraformable,"Carbon: 12.725804%, Chromium: 9.523901%, Germanium: 4.449097%, Iron: 21.176777%, Manganese: 8.745793%, Nickel: 16.017227%, Niobium: 1.44732%, Phosphorus: 8.147279%, Sulphur: 15.133617%, Tin: 1.368318%, Yttrium: 1.264864%"
GR020,11681102898521,Col 173 Sector AV-N b23-5,1,b,A 2,3,γ,1117.03125,-71.03125,-202.15625,-18.7475,-135.5671,11,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M4,9.447479,354,2904,3,27,Col 173 Sector AV-N b23-5 A 2,216184463216682329,6,Planet,High metal content world,TRUE,55.144988,23.56390389,0.1105118276,289.640674,-0.320115,0.000101,-0.187817,23.56388572,1.82E-05,72069275140826457,Star,M (Red dwarf) Star,1942.4705,0.026519,274.874298,0.2856398491,0,32.6808,67.3192,No volcanism,No atmosphere,0,Not terraformable,"Carbon: 12.725804%, Chromium: 9.523901%, Germanium: 4.449097%, Iron: 21.176777%, Manganese: 8.745793%, Nickel: 16.017227%, Niobium: 1.44732%, Phosphorus: 8.147279%, Sulphur: 15.133617%, Tin: 1.368318%, Yttrium: 1.264864%"
GR021,1625603164499,Col 173 Sector KY-Q d5-47,3,d,9 d,1,β,1043.875,-100.75,-246.0625,-10.8137,-89.8865,13,Inner Orion Spur,Star,F (White) Star,VI,F4,3.90686,1158,6858,3,66,Col 173 Sector KY-Q d5-47 9 d,1297038318285867347,36,Planet,Rocky body,TRUE,1433.699166,3.039500327,0.007415341703,44.613887,-0.33222,0.001282,3.077639,3.10048937,0.06098904249,1116894333191047507,Planet,Class III gas giant,1286.308375,0.006218,243.358383,0.15273264,0,8.9543,91.0457,No volcanism,No atmosphere,0,Not terraformable,"Antimony: 1.282094%, Arsenic: 2.711298%, Carbon: 17.280779%, Iron: 21.048536%, Molybdenum: 1.374457%, Nickel: 15.920231%, Phosphorus: 11.063452%, Sulphur: 20.550425%, Tungsten: 1.155776%, Vanadium: 5.168788%, Zirconium: 2.444169%"
GR022,1184840454858,Synuefe NL-N c23-4,2,c,B 3,3,α,860.125,-124.59375,-61.0625,0.6669,-36.8211,16,Inner Orion Spur,Star,K (Yellow-Orange) Star,Va,K7,7.523514,2058,4046,3,33,Synuefe NL-N c23-4 B 3,648519531181806282,18,Planet,High metal content world,TRUE,1804.807826,19.87268529,0.08934026716,14.644195,0.23031,0.000392,0.007871,19.97922099,0.1065356955,108087575897346762,Star,M (Red dwarf) Star,2051.975625,0.031528,283.832672,0.3043194657,0,33.1622,66.8378,,No atmosphere,0,Not terraformable,"Arsenic: 2.253854%, Cadmium: 1.892314%, Carbon: 14.43696%, Iron: 24.368362%, Molybdenum: 1.59124%, Nickel: 18.43121%, Phosphorus: 9.24279%, Selenium: 2.687021%, Sulphur: 17.168535%, Tellurium: 1.305311%, Zinc: 6.622409%"
GR023,457388837203,Col 173 Sector LY-Q d5-13,3,d,AB 9 a,2,α,1120.34375,-87.21875,-216.875,65.9273,-128.5718,21,Inner Orion Spur,Star,F (White) Star,Vb,F4,3.551376,1286,6784,4,77,Col 173 Sector LY-Q d5-13 AB 9 a,1441152338147395923,40,Planet,Rocky body,TRUE,4709.116556,1.402936921,0.008054395463,134.429833,-0.521906,0.000009,0.822925,1.48673259,0.08379566903,1333065947090504019,Star,Y (Brown dwarf) Star,1186.50875,0.00486,212.135757,0.140292954,0,8.8221,91.1779,Minor Silicate Vapour Geysers,No atmosphere,0,Not terraformable,"Carbon: 15.876417%, Iron: 19.20034%, Manganese: 7.929545%, Molybdenum: 1.253771%, Nickel: 14.522332%, Phosphorus: 10.164354%, Ruthenium: 1.185744%, Sulphur: 18.880344%, Tungsten: 1.054292%, Vanadium: 4.714935%, Zinc: 5.217934%"
GR024,457388837203,Col 173 Sector LY-Q d5-13,3,d,AB 9 a,1,β,1120.34375,-87.21875,-216.875,71.3178,-112.4443,11,Inner Orion Spur,Star,F (White) Star,Vb,F4,3.551376,1286,6784,4,77,Col 173 Sector LY-Q d5-13 AB 9 a,1441152338147395923,40,Planet,Rocky body,TRUE,4709.116556,1.402936921,0.008054395463,134.429833,-0.521906,0.000009,0.822925,1.48673259,0.08379566903,1333065947090504019,Star,Y (Brown dwarf) Star,1186.50875,0.00486,212.135757,0.140292954,0,8.8221,91.1779,Minor Silicate Vapour Geysers,No atmosphere,0,Not terraformable,"Carbon: 15.876417%, Iron: 19.20034%, Manganese: 7.929545%, Molybdenum: 1.253771%, Nickel: 14.522332%, Phosphorus: 10.164354%, Ruthenium: 1.185744%, Sulphur: 18.880344%, Tungsten: 1.054292%, Vanadium: 4.714935%, Zinc: 5.217934%"
GR025,8219259477,HIP 39768,5,f,A 14 f,2,β,866.59375,-119.125,-109.03125,-0.0237,-149.4769,15,Inner Orion Spur,Star,B (Blue-White) Star,IV,B8,0.600967,756,32812,15,61,HIP 39768 A 14 f,1729382265129529941,48,Planet,Rocky body,TRUE,6993.945634,70.80025737,0.1827582433,28.946663,-0.512051,0.001446,0.224701,70.8001783,7.91E-05,1441151888977818197,Star,L (Brown dwarf) Star,1645.258375,0.013158,283.999634,0.1975590904,0,8.8639,91.1361,,No atmosphere,0,Not terraformable,"Carbon: 16.539968%, Germanium: 5.837109%, Iron: 20.066315%, Mercury: 0.876263%, Nickel: 15.177319%, Phosphorus: 10.589172%, Selenium: 3.078435%, Sulphur: 19.669447%, Tellurium: 1.511823%, Tin: 1.200878%, Zinc: 5.453273%"
GR026,457388837203,Col 173 Sector LY-Q d5-13,3,d,AB 9 a,3,β,1120.34375,-87.21875,-216.875,39.7297,48.2314,12,Inner Orion Spur,Star,F (White) Star,Vb,F4,3.551376,1286,6784,4,77,Col 173 Sector LY-Q d5-13 AB 9 a,1441152338147395923,40,Planet,Rocky body,TRUE,4709.116556,1.402936921,0.008054395463,134.429833,-0.521906,0.000009,0.822925,1.48673259,0.08379566903,1333065947090504019,Star,Y (Brown dwarf) Star,1186.50875,0.00486,212.135757,0.140292954,0,8.8221,91.1779,Minor Silicate Vapour Geysers,No atmosphere,0,Not terraformable,"Carbon: 15.876417%, Iron: 19.20034%, Manganese: 7.929545%, Molybdenum: 1.253771%, Nickel: 14.522332%, Phosphorus: 10.164354%, Ruthenium: 1.185744%, Sulphur: 18.880344%, Tungsten: 1.054292%, Vanadium: 4.714935%, Zinc: 5.217934%"
GR027,457388837203,Col 173 Sector LY-Q d5-13,3,d,AB 9 b,1,γ,1120.34375,-87.21875,-216.875,21.9302,154.1811,27,Inner Orion Spur,Star,F (White) Star,Vb,F4,3.551376,1286,6784,4,77,Col 173 Sector LY-Q d5-13 AB 9 b,1477181135166359891,41,Planet,Rocky body,TRUE,4712.674417,3.841935482,0.0154649759,42.866612,-0.061413,0.001826,1.932863,3.955553458,0.1136179765,1333065947090504019,Star,Y (Brown dwarf) Star,1167.78725,0.00463,186.424805,0.1379974508,0,8.8221,91.1779,No volcanism,No atmosphere,0,Not terraformable,"Carbon: 15.367108%, Chromium: 8.358024%, Iron: 18.584404%, Manganese: 7.675169%, Nickel: 14.056463%, Phosphorus: 9.838286%, Ruthenium: 1.147706%, Sulphur: 18.274672%, Tin: 1.114021%, Tungsten: 1.02047%, Vanadium: 4.563683%"
GR028,4758655898274,Col 173 Sector XG-J c10-17,2,c,A 2,1,β,1095.25,-127.5625,-238.40625,-17.0087,44.2440,12,Inner Orion Spur,Star,K (Yellow-Orange) Star,Va,K6,6.644958,522,4243,3,24,Col 173 Sector XG-J c10-17 A 2,252206337788646050,7,Planet,High metal content world,FALSE,290.322094,1.5822626,0.5827272987,298.428105,-0.501644,0.001736,1.88846,202.9780988,201.3958362,72062352693826210,Star,K (Yellow-Orange) Star,1699.15025,0.017542,273.516083,0.2469405527,0,32.4217,67.5783,,No atmosphere,0,Not terraformable,"Cadmium: 1.681376%, Carbon: 13.101072%, Chromium: 9.737626%, Iron: 21.652004%, Mercury: 0.945507%, Nickel: 16.376669%, Phosphorus: 8.387531%, Ruthenium: 1.337149%, Sulphur: 15.579888%, Vanadium: 5.316978%, Zinc: 5.884204%"
GR029,2037936802131,Col 173 Sector LY-Q d5-59,3,d,8 a,1,α,1078.09375,-86.5625,-249.46875,-20.3017,-133.6460,16,Inner Orion Spur,Star,A (Blue-White) Star,Vb,A9,3.093719,1940,7602,2,58,Col 173 Sector LY-Q d5-59 8 a,1116894745524685139,31,Planet,Rocky body,TRUE,1170.655211,1.257550701,0.00544432124,61.824758,0.267583,0.000284,-0.029685,1.257536726,1.40E-05,1008808354467793235,Star,Y (Brown dwarf) Star,1578.639625,0.011607,243.457092,0.189293056,0,8.9754,91.0246,Minor Metallic Magma,No atmosphere,0,Not terraformable,"Cadmium: 1.442976%, Carbon: 15.183798%, Chromium: 8.356937%, Iron: 18.581987%, Manganese: 7.674171%, Molybdenum: 1.213393%, Nickel: 14.054637%, Phosphorus: 9.720928%, Sulphur: 18.056681%, Technetium: 0.664603%, Zinc: 5.049889%"
GR030,18278172730721,Col 173 Sector CG-M b24-8,1,b,A 4,2,γ,1127.9375,-59.9375,-175.78125,-42.7779,130.3504,25,Inner Orion Spur,Star,M (Red dwarf) Star,Va,M3,8.694458,10294,3036,3,23,Col 173 Sector CG-M b24-8 A 4,360306248362370401,10,Planet,High metal content world,FALSE,80.609154,3.653955951,7.53E-05,236.049832,-0.041107,0.195151,-2.901861,3.622057606,0.0318983447,324277451343406433,Null,,1401.1225,0.009758,283.582916,0.2020240644,0,32.8242,67.1758,No volcanism,No atmosphere,0,Not terraformable,"Carbon: 14.101542%, Iron: 23.554672%, Molybdenum: 1.538106%, Nickel: 17.815767%, Niobium: 1.609836%, Phosphorus: 9.028049%, Polonium: 0.661711%, Sulphur: 16.769655%, Vanadium: 5.784208%, Zinc: 6.401279%, Zirconium: 2.735183%"
